actor_key,actor_name,month,n_articles,n_unique_articles,n_direct_conflict_relevance,n_physical_violence,n_fatalities_present,n_context_cbt,n_context_civ,n_context_pol,n_context_other,share_direct_conflict_relevance_raw,share_physical_violence_raw,share_fatalities_present_raw,share_context_cbt_raw,share_context_civ_raw,share_context_pol_raw,share_context_other_raw,log1p_n_articles,y_ucdp_actor_fatalities,n_ucdp_actor_events,log1p_y_ucdp_actor_fatalities,y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_lag1,log1p_y_ucdp_actor_fatalities_lag2,period_start,year,month_of_year,period_index,time_years,taliban_transition_month,taliban_post_takeover,hamas_post_oct2023,taliban_outcome_transition_aug2021,taliban_outcome_post_takeover,hamas_outcome_post_oct2023
209,Hamas,2025-04,1200.0,1200.0,926.0,561.0,470.0,501.0,68.0,548.0,83.0,0.7716666666666666,0.4675,0.39166666666666666,0.4175,0.056666666666666664,0.45666666666666667,0.06916666666666667,7.0909098220799835,1287.0,335.0,7.160845906664299,2083.0,7.642044402873258,6.939253946041508,3.8066624897703196,2025-04-01,2025,4,63,5.25,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-05,1501.0,1501.0,1218.0,691.0,558.0,611.0,90.0,725.0,75.0,0.8114590273151232,0.4603597601598934,0.37175216522318455,0.40706195869420386,0.05996002664890073,0.4830113257828115,0.049966688874083946,7.31455283232408,2083.0,423.0,7.642044402873258,1879.0,7.539027055823995,7.160845906664299,6.939253946041508,2025-05-01,2025,5,64,5.333333333333333,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-06,690.0,690.0,564.0,351.0,271.0,307.0,72.0,254.0,57.0,0.8173913043478261,0.508695652173913,0.3927536231884058,0.4449275362318841,0.10434782608695652,0.3681159420289855,0.08260869565217391,6.53813982376767,1879.0,340.0,7.539027055823995,2405.0,7.785720896534624,7.642044402873258,7.160845906664299,2025-06-01,2025,6,65,5.416666666666667,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-07,1098.0,1098.0,903.0,447.0,381.0,361.0,79.0,599.0,59.0,0.8224043715846995,0.40710382513661203,0.3469945355191257,0.32877959927140255,0.07194899817850638,0.5455373406193078,0.05373406193078324,7.002155954403621,2405.0,459.0,7.785720896534624,1685.0,7.430114138561801,7.539027055823995,7.642044402873258,2025-07-01,2025,7,66,5.5,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-08,1377.0,1377.0,1149.0,479.0,405.0,430.0,64.0,786.0,97.0,0.8344226579520697,0.3478576615831518,0.29411764705882354,0.31227305737109656,0.04647785039941903,0.5708061002178649,0.07044299201161947,7.228388451573604,1685.0,348.0,7.430114138561801,2021.0,7.611842399580417,7.785720896534624,7.539027055823995,2025-08-01,2025,8,67,5.583333333333333,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-09,2317.0,2317.0,2007.0,993.0,710.0,926.0,44.0,1236.0,111.0,0.8662063012516185,0.42857142857142855,0.3064307293914545,0.3996547259387139,0.018990073370738023,0.5334484246870954,0.04790677600345274,7.748460023899697,2021.0,388.0,7.611842399580417,635.0,6.455198563340122,7.430114138561801,7.785720896534624,2025-09-01,2025,9,68,5.666666666666667,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-10,2776.0,2776.0,2382.0,1077.0,896.0,900.0,108.0,1614.0,154.0,0.8580691642651297,0.38796829971181557,0.3227665706051873,0.3242074927953891,0.03890489913544669,0.5814121037463977,0.05547550432276657,7.9291264873067995,635.0,143.0,6.455198563340122,107.0,4.68213122712422,7.611842399580417,7.430114138561801,2025-10-01,2025,10,69,5.75,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-11,939.0,939.0,755.0,403.0,348.0,349.0,46.0,468.0,76.0,0.8040468583599574,0.4291799787007455,0.3706070287539936,0.37167199148029817,0.04898828541001065,0.4984025559105431,0.08093716719914804,6.84587987526405,107.0,45.0,4.68213122712422,57.0,4.060443010546419,6.455198563340122,7.611842399580417,2025-11-01,2025,11,70,5.833333333333333,0.0,0.0,1.0,0.0,0.0,1.0
209,Hamas,2025-12,869.0,869.0,688.0,352.0,315.0,301.0,43.0,485.0,40.0,0.7917146144994246,0.4050632911392405,0.3624856156501726,0.34637514384349827,0.04948216340621404,0.5581127733026467,0.04602991944764097,6.76849321164863,57.0,35.0,4.060443010546419,,,4.68213122712422,6.455198563340122,2025-12-01,2025,12,71,5.916666666666667,0.0,0.0,1.0,0.0,0.0,1.0
303,Taliban,2020-01,428.0,428.0,344.0,292.0,270.0,281.0,22.0,84.0,41.0,0.8037383177570093,0.6822429906542056,0.6308411214953271,0.6565420560747663,0.0514018691588785,0.19626168224299065,0.09579439252336448,6.061456918928017,1634.0,397.0,7.399398083331354,2733.0,7.913521017283895,,,2020-01-01,2020,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
