group,specification,history,minimum_articles,hac_lags,variable,n,n_hamas,n_taliban,n_farc,estimator,estimate,standard_error,p_value,ci_low,ci_high,uncertainty,joint_mle_success,fdr_p
Temporal aggregation,One week,approximately 12 weeks,10,13,direct_conflict_relevance,719,287,304,128,bca,0.4177160677140196,0.2508201594294337,0.09583284095622421,-0.07389144476767046,0.9093235801957096,conditional actor-specific HAC,,0.1437492614343363
Temporal aggregation,One week,approximately 12 weeks,10,13,direct_conflict_relevance,719,287,304,128,bcm,0.43948276706207234,0.2508201594294337,0.07974238173107015,-0.0521247454196177,0.9310902795437623,conditional actor-specific HAC,,0.11961357259660522
Temporal aggregation,One week,approximately 12 weeks,10,13,direct_conflict_relevance,719,287,304,128,joint_mle,0.5421862125314604,0.29730388409032166,0.06820093982240298,-0.04052940028557006,1.1249018253484908,inverse integrated-likelihood information,True,0.10230140973360446
Temporal aggregation,One week,approximately 12 weeks,10,13,physical_violence,719,287,304,128,naive,0.5190267204097394,0.24395546567605672,0.0333746600932969,0.040874007684668257,0.9971794331348105,conditional actor-specific HAC,,0.1001239802798907
Temporal aggregation,One week,approximately 12 weeks,10,13,physical_violence,719,287,304,128,direct,0.38694224722115766,0.1823810421129343,0.033870131228348005,0.02947540467980647,0.7444090897625089,conditional actor-specific HAC,,0.10161039368504401
Temporal aggregation,One week,approximately 12 weeks,10,13,physical_violence,719,287,304,128,bca,0.4614030205171004,0.1823810421129343,0.01140999925919982,0.10393617797574922,0.8188698630584517,conditional actor-specific HAC,,0.03422999777759946
Temporal aggregation,One week,approximately 12 weeks,10,13,physical_violence,719,287,304,128,bcm,0.47914617402371973,0.1823810421129343,0.00860980699453965,0.12167933148236854,0.8366130165650709,conditional actor-specific HAC,,0.02582942098361895
Temporal aggregation,One week,approximately 12 weeks,10,13,physical_violence,719,287,304,128,joint_mle,0.48830582927366967,0.17922821964596655,0.006440051374084841,0.1370185187675752,0.8395931397797641,inverse integrated-likelihood information,True,0.01932015412225452
Temporal aggregation,One week,approximately 12 weeks,10,13,fatalities_present,719,287,304,128,naive,-0.008242026135449124,0.251623771509711,0.9738696800909182,-0.5014246182944827,0.48494056602358443,conditional actor-specific HAC,,0.9738696800909182
Temporal aggregation,One week,approximately 12 weeks,10,13,fatalities_present,719,287,304,128,direct,0.029643304266308568,0.21547130775928347,0.8905769049226646,-0.392680458941887,0.45196706747450416,conditional actor-specific HAC,,0.8905769049226646
